Hour,$/kWh,,,,,,
1,0.02997,,,,,,
2,0.0287,,,,,,
3,0.02675,,,,,,
4,0.01999,,,,,,
5,0.01939,,,,,,
6,0.02635,,,,,,
7,0.02812,,,,,,
8,0.03795,,,,,,
9,0.02809,,,,,,
10,0.01985,,,,,,
11,0.01909,,,,,,
12,0.01911,,,,,,
13,0.019,,,,,,
14,0.02566,,,,,,
15,0.02676,,,,,,
16,0.02758,,,,,,
17,0.02688,,,,,,
18,0.02771,,,,,,
19,0.02874,,,,,,
20,0.02771,,,,,,
21,0.02761,,,,,,
22,0.02676,,,,,,
23,0.02761,,,,,,
24,0.02688,,,,,,
25,0.02558,,,,,,
26,0.02545,,,,,,
27,0.02566,,,,,,
28,0.02661,,,,,,
29,0.02761,,,,,,
30,0.02933,,,,,,
31,0.03007,,,,,,
32,0.03039,,,,,,
33,0.0297,,,,,,
34,0.02974,,,,,,
35,0.03015,,,,,,
36,0.03073,,,,,,
37,0.03049,,,,,,
38,0.03079,,,,,,
39,0.03134,,,,,,
40,0.03074,,,,,,
41,0.02995,,,,,,
42,0.03095,,,,,,
43,0.03148,,,,,,
44,0.03074,,,,,,
45,0.03021,,,,,,
46,0.02982,,,,,,
47,0.02992,,,,,,
48,0.02917,,,,,,
49,0.02806,,,,,,
50,0.02802,,,,,,
51,0.0269,,,,,,
52,0.02565,,,,,,
53,0.02531,,,,,,
54,0.02294,,,,,,
55,0.02535,,,,,,
56,0.0276,,,,,,
57,0.0265,,,,,,
58,0.01793,,,,,,
59,0.00011,,,,,,
60,0.00008,,,,,,
61,0.00008,,,,,,
62,0.00008,,,,,,
63,0.00008,,,,,,
64,0.00008,,,,,,
65,0.01793,,,,,,
66,0.01926,,,,,,
67,0.02795,,,,,,
68,0.03319,,,,,,
69,0.03027,,,,,,
70,0.03022,,,,,,
71,0.02946,,,,,,
72,0.02761,,,,,,
73,0.02803,,,,,,
74,0.02718,,,,,,
75,0.02864,,,,,,
76,0.02951,,,,,,
77,0.03021,,,,,,
78,0.03094,,,,,,
79,0.0319,,,,,,
80,0.03911,,,,,,
81,0.03099,,,,,,
82,0.02945,,,,,,
83,0.02972,,,,,,
84,0.03685,,,,,,
85,0.02977,,,,,,
86,0.02821,,,,,,
87,0.02813,,,,,,
88,0.02803,,,,,,
89,0.02945,,,,,,
90,0.03061,,,,,,
91,0.03213,,,,,,
92,0.03133,,,,,,
93,0.03056,,,,,,
94,0.03096,,,,,,
95,0.03061,,,,,,
96,0.02966,,,,,,
97,0.02898,,,,,,
98,0.02853,,,,,,
99,0.02864,,,,,,
100,0.02803,,,,,,
101,0.0281,,,,,,
102,0.02874,,,,,,
103,0.0295,,,,,,
104,0.05998,,,,,,
105,0.0282,,,,,,
106,0.02125,,,,,,
107,0.01926,,,,,,
108,0.01932,,,,,,
109,0.01803,,,,,,
110,0.01793,,,,,,
111,0.01742,,,,,,
112,0.01621,,,,,,
113,0.0183,,,,,,
114,0.01825,,,,,,
115,0.02062,,,,,,
116,0.02073,,,,,,
117,0.02048,,,,,,
118,0.01911,,,,,,
119,0.02035,,,,,,
120,0.01742,,,,,,
121,0.01642,,,,,,
122,0.00011,,,,,,
123,0.00011,,,,,,
124,0.00009,,,,,,
125,0.00008,,,,,,
126,0.00008,,,,,,
127,0.02159,,,,,,
128,0.02439,,,,,,
129,0.00008,,,,,,
130,0.00008,,,,,,
131,0.00008,,,,,,
132,0.02543,,,,,,
133,0.02764,,,,,,
134,0.04653,,,,,,
135,0.04911,,,,,,
136,0.03966,,,,,,
137,0.03087,,,,,,
138,0.03133,,,,,,
139,0.03313,,,,,,
140,0.03224,,,,,,
141,0.03149,,,,,,
142,0.03087,,,,,,
143,0.02945,,,,,,
144,0.02838,,,,,,
145,0.02499,,,,,,
146,0.0232,,,,,,
147,0.02438,,,,,,
148,0.02569,,,,,,
149,0.02823,,,,,,
150,0.0299,,,,,,
151,0.03151,,,,,,
152,0.0316,,,,,,
153,0.03017,,,,,,
154,0.0288,,,,,,
155,0.0285,,,,,,
156,0.0251,,,,,,
157,0.01909,,,,,,
158,0.01874,,,,,,
159,0.01881,,,,,,
160,0.01921,,,,,,
161,0.01831,,,,,,
162,0.01921,,,,,,
163,0.02823,,,,,,
164,0.02957,,,,,,
165,0.03017,,,,,,
166,0.0309,,,,,,
167,0.03087,,,,,,
168,0.03157,,,,,,
169,0.03203,,,,,,
170,0.03102,,,,,,
171,0.03177,,,,,,
172,0.03212,,,,,,
173,0.03063,,,,,,
174,0.02997,,,,,,
175,0.03343,,,,,,
176,0.03163,,,,,,
177,0.03127,,,,,,
178,0.02131,,,,,,
179,0.02803,,,,,,
180,0.0286,,,,,,
181,0.02985,,,,,,
182,0.03367,,,,,,
183,0.03075,,,,,,
184,0.02803,,,,,,
185,0.02887,,,,,,
186,0.03029,,,,,,
187,0.03087,,,,,,
188,0.03232,,,,,,
189,0.03124,,,,,,
190,0.03149,,,,,,
191,0.02995,,,,,,
192,0.02759,,,,,,
193,0.0269,,,,,,
194,0.02622,,,,,,
195,0.02449,,,,,,
196,0.02187,,,,,,
197,0.02496,,,,,,
198,0.0273,,,,,,
199,0.03045,,,,,,
200,0.03047,,,,,,
201,0.02822,,,,,,
202,0.02074,,,,,,
203,0.01926,,,,,,
204,0.02764,,,,,,
205,0.02975,,,,,,
206,0.02823,,,,,,
207,0.02779,,,,,,
208,0.0269,,,,,,
209,0.02102,,,,,,
210,0.0203,,,,,,
211,0.03164,,,,,,
212,0.02965,,,,,,
213,0.02126,,,,,,
214,0.0207,,,,,,
215,0.01955,,,,,,
216,0.00011,,,,,,
217,0.00009,,,,,,
218,0.00008,,,,,,
219,0.00008,,,,,,
220,0.00008,,,,,,
221,0.00008,,,,,,
222,0.01882,,,,,,
223,0.02693,,,,,,
224,0.02766,,,,,,
225,0.02639,,,,,,
226,0.019,,,,,,
227,0.01793,,,,,,
228,0.01793,,,,,,
229,0.01926,,,,,,
230,0.02073,,,,,,
231,0.01994,,,,,,
232,0.02132,,,,,,
233,0.02148,,,,,,
234,0.02278,,,,,,
235,0.03105,,,,,,
236,0.03027,,,,,,
237,0.03002,,,,,,
238,0.03034,,,,,,
239,0.03035,,,,,,
240,0.03192,,,,,,
241,0.0309,,,,,,
242,0.04842,,,,,,
243,0.04712,,,,,,
244,0.03379,,,,,,
245,0.02982,,,,,,
246,0.03025,,,,,,
247,0.03212,,,,,,
248,0.03535,,,,,,
249,0.03077,,,,,,
250,0.02877,,,,,,
251,0.02803,,,,,,
252,0.0276,,,,,,
253,0.02693,,,,,,
254,0.02565,,,,,,
255,0.02574,,,,,,
256,0.02849,,,,,,
257,0.03059,,,,,,
258,0.03103,,,,,,
259,0.03201,,,,,,
260,0.03354,,,,,,
261,0.03429,,,,,,
262,0.03661,,,,,,
263,0.03475,,,,,,
264,0.0324,,,,,,
265,0.03101,,,,,,
266,0.02987,,,,,,
267,0.02821,,,,,,
268,0.02838,,,,,,
269,0.02779,,,,,,
270,0.02809,,,,,,
271,0.0288,,,,,,
272,0.04987,,,,,,
273,0.02969,,,,,,
274,0.02065,,,,,,
275,0.02055,,,,,,
276,0.02072,,,,,,
277,0.02072,,,,,,
278,0.02054,,,,,,
279,0.02018,,,,,,
280,0.02736,,,,,,
281,0.02073,,,,,,
282,0.02023,,,,,,
283,0.0227,,,,,,
284,0.03784,,,,,,
285,0.02163,,,,,,
286,0.02152,,,,,,
287,0.01926,,,,,,
288,0.01836,,,,,,
289,0.01866,,,,,,
290,0.01742,,,,,,
291,0.00012,,,,,,
292,0.00011,,,,,,
293,0.00009,,,,,,
294,0.01793,,,,,,
295,0.01831,,,,,,
296,0.01926,,,,,,
297,0.01882,,,,,,
298,0.00009,,,,,,
299,0.00008,,,,,,
300,0.01742,,,,,,
301,0.01881,,,,,,
302,0.01958,,,,,,
303,0.01945,,,,,,
304,0.01945,,,,,,
305,0.02024,,,,,,
306,0.02289,,,,,,
307,0.02847,,,,,,
308,0.02688,,,,,,
309,0.0187,,,,,,
310,0.01803,,,,,,
311,0.01803,,,,,,
312,0.00011,,,,,,
313,0.00008,,,,,,
314,0.0232,,,,,,
315,0.02628,,,,,,
316,0.0276,,,,,,
317,0.02761,,,,,,
318,0.0282,,,,,,
319,0.02972,,,,,,
320,0.03761,,,,,,
321,0.02761,,,,,,
322,0.01855,,,,,,
323,0.01923,,,,,,
324,0.02669,,,,,,
325,0.01958,,,,,,
326,0.02046,,,,,,
327,0.02073,,,,,,
328,0.01976,,,,,,
329,0.02094,,,,,,
330,0.02068,,,,,,
331,0.03022,,,,,,
332,0.02965,,,,,,
333,0.03287,,,,,,
334,0.03018,,,,,,
335,0.02858,,,,,,
336,0.02558,,,,,,
337,0.02438,,,,,,
338,0.02531,,,,,,
339,0.02647,,,,,,
340,0.02704,,,,,,
341,0.02779,,,,,,
342,0.02759,,,,,,
343,0.03579,,,,,,
344,0.06105,,,,,,
345,0.02987,,,,,,
346,0.02761,,,,,,
347,0.02899,,,,,,
348,0.02852,,,,,,
349,0.02688,,,,,,
350,0.0001,,,,,,
351,0.00008,,,,,,
352,0.02294,,,,,,
353,0.02608,,,,,,
354,0.02922,,,,,,
355,0.03595,,,,,,
356,0.0315,,,,,,
357,0.03122,,,,,,
358,0.03045,,,,,,
359,0.0306,,,,,,
360,0.02171,,,,,,
361,0.02086,,,,,,
362,0.0212,,,,,,
363,0.02106,,,,,,
364,0.01926,,,,,,
365,0.01855,,,,,,
366,0.019,,,,,,
367,0.02139,,,,,,
368,0.0208,,,,,,
369,0.02073,,,,,,
370,0.02029,,,,,,
371,0.02038,,,,,,
372,0.01876,,,,,,
373,0.01742,,,,,,
374,0.00011,,,,,,
375,0.01698,,,,,,
376,0.01874,,,,,,
377,0.01926,,,,,,
378,0.02055,,,,,,
379,0.02163,,,,,,
380,0.02255,,,,,,
381,0.0225,,,,,,
382,0.02198,,,,,,
383,0.02111,,,,,,
384,0.02092,,,,,,
385,0.03044,,,,,,
386,0.01926,,,,,,
387,0.02063,,,,,,
388,0.01926,,,,,,
389,0.02083,,,,,,
390,0.02271,,,,,,
391,0.03173,,,,,,
392,0.02188,,,,,,
393,0.02191,,,,,,
394,0.02017,,,,,,
395,0.01969,,,,,,
396,0.0192,,,,,,
397,0.01874,,,,,,
398,0.00011,,,,,,
399,0.01642,,,,,,
400,0.01793,,,,,,
401,0.01923,,,,,,
402,0.0279,,,,,,
403,0.02906,,,,,,
404,0.02945,,,,,,
405,0.02204,,,,,,
406,0.02196,,,,,,
407,0.02164,,,,,,
