Hour,$/kWh
1,0.043291502
2,0.05181
3,0.05115
4,0.04956
5,0.04817
6,0.05014
7,0.05194
8,0.06145
9,0.05798
10,0.05175
11,0.04682
12,0.04767
13,0.04379
14,0.04062
15,0.04386
16,0.04534
17,0.05113
18,0.05829
19,0.06105
20,0.06049
21,0.06079
22,0.06217
23,0.05893
24,0.05285
25,0.05086
26,0.05037
27,0.05053
28,0.04908
29,0.0488
30,0.05004
31,0.05136
32,0.05545
33,0.0581
34,0.05066
35,0.04534
36,0.042
37,0.03474
38,0.02383
39,0.03975
40,0.04866
41,0.05001
42,0.0614
43,0.06007
44,0.06218
45,0.06218
46,0.06218
47,0.05928
48,0.05372
49,0.0527
50,0.05109
51,0.05482
52,0.05312
53,0.05086
54,0.05107
55,0.05304
56,0.0598
57,0.05545
58,0.0479
59,0.03718
60,0.03098
61,0.03098
62,0.03098
63,0.03098
64,0.03723
65,0.05034
66,0.06151
67,0.05855
68,0.05957
69,0.05794
70,0.06073
71,0.05951
72,0.05506
73,0.05181
74,0.05014
75,0.05481
76,0.05193
77,0.05176
78,0.05192
79,0.05369
80,0.06082
81,0.05363
82,0.04197
83,0.03101
84,0.01778
85,0.00868
86,0.00841
87,0.01311
88,0.03102
89,0.03887
90,0.05109
91,0.05482
92,0.05586
93,0.05695
94,0.05703
95,0.05789
96,0.05392
97,0.05247
98,0.05135
99,0.05259
100,0.05259
101,0.05256
102,0.05265
103,0.05319
104,0.05372
105,0.05552
106,0.05359
107,0.04258
108,0.03518
109,0.01798
110,0.01954
111,0.03459
112,0.04287
113,0.05292
114,0.05793
115,0.05666
116,0.0593
117,0.0593
118,0.05936
119,0.05868
120,0.05491
121,0.05372
122,0.0537
123,0.05762
124,0.0565
125,0.05372
126,0.05329
127,0.05356
128,0.05909
129,0.05783
130,0.05286
131,0.03359
132,0.00959
133,0.00626
134,0.00536
135,0.01227
136,0.03935
137,0.05346
138,0.06223
139,0.06218
140,0.06308
141,0.0629
142,0.06218
143,0.06181
144,0.057
145,0.05381
146,0.05394
147,0.05115
148,0.04865
149,0.04798
150,0.0482
151,0.05031
152,0.05662
153,0.05628
154,0.05181
155,0.04492
156,0.04218
157,0.03344
158,0.03051
159,0.03112
160,0.03734
161,0.05126
162,0.05901
163,0.06003
164,0.06085
165,0.06043
166,0.06045
167,0.05967
168,0.05518
169,0.05099
170,0.05371
171,0.05372
172,0.05356
173,0.05301
174,0.05329
175,0.0565
176,0.06
177,0.06053
178,0.05376
179,0.04787
180,0.04105
181,0.03972
182,0.04013
183,0.04118
184,0.0471
185,0.05206
186,0.06121
187,0.0626
188,0.06271
189,0.0628
190,0.06248
191,0.06218
192,0.06058
193,0.05518
194,0.05518
195,0.05366
196,0.05306
197,0.05239
198,0.05259
199,0.05481
200,0.06153
201,0.06277
202,0.06174
203,0.04806
204,0.04223
205,0.04129
206,0.03648
207,0.04101
208,0.04765
209,0.05558
210,0.06305
211,0.06369
212,0.06463
213,0.06418
214,0.06352
215,0.06153
216,0.05662
217,0.05273
218,0.05299
219,0.05312
220,0.05189
221,0.05195
222,0.05231
223,0.05587
224,0.06218
225,0.06251
226,0.05361
227,0.03981
228,0.03079
229,0.00784
230,0.00176
231,0.00384
232,0.03099
233,0.03804
234,0.05355
235,0.05784
236,0.058
237,0.058
238,0.05798
239,0.058
240,0.05263
241,0.04844
242,0.04837
243,0.04547
244,0.04329
245,0.04283
246,0.04564
247,0.04985
248,0.05352
249,0.05265
250,0.04566
251,0.03101
252,0.00324
253,0.0003
254,0.0003
255,0.01189
256,0.03098
257,0.038
258,0.05293
259,0.05455
260,0.05497
261,0.0565
262,0.05658
263,0.05658
264,0.05381
265,0.05014
266,0.04682
267,0.05356
268,0.05289
269,0.05247
270,0.05233
271,0.05265
272,0.05338
273,0.05723
274,0.05014
275,0.03788
276,0.02893
277,0.0222
278,0.02908
279,0.02975
280,0.03627
281,0.04702
282,0.0565
283,0.06259
284,0.06352
285,0.06291
286,0.06218
287,0.0613
288,0.05825
289,0.05265
290,0.05101
291,0.05587
292,0.05545
293,0.05518
294,0.05518
295,0.0554
296,0.0565
297,0.05703
298,0.04906
299,0.00324
300,0.00028
301,0.00028
302,0.00028
303,0.00028
304,0.00031
305,0.04709
306,0.05392
307,0.06276
308,0.06369
309,0.06365
310,0.06218
311,0.06184
312,0.05628
313,0.05247
314,0.05013
315,0.04909
316,0.04848
317,0.04909
318,0.04915
319,0.0546
320,0.06366
321,0.06331
322,0.05513
323,0.0496
324,0.04062
325,0.01198
326,0.01223
327,0.02805
328,0.03973
329,0.04801
330,0.05712
331,0.06218
332,0.06253
333,0.06344
334,0.06297
335,0.05909
336,0.05545
337,0.05189
338,0.05249
339,0.05309
340,0.05247
341,0.05235
342,0.05256
343,0.05545
344,0.0616
345,0.06218
346,0.05662
347,0.04167
348,0.02902
349,0.0018
350,0.00061
351,0.00542
352,0.03942
353,0.05114
354,0.05672
355,0.06363
356,0.06419
357,0.06386
358,0.06246
359,0.05672
360,0.05263
361,0.05019
362,0.04981
363,0.04825
364,0.0473
365,0.04801
366,0.04891
367,0.05135
368,0.05434
369,0.05552
370,0.05172
371,0.03718
372,0.00677
373,0.00033
374,0.00031
375,0.00161
376,0.02136
377,0.03718
378,0.0524
379,0.05449
380,0.05448
381,0.05399
382,0.05312
383,0.05448
384,0.05117
385,0.04861
386,0.04906
387,0.04852
388,0.0473
389,0.0473
390,0.04774
391,0.04987
392,0.05037
393,0.04987
394,0.04124
395,0.01439
396,0.00029
397,0.00028
398,0.00028
399,0.00029
400,0.03098
401,0.03718
402,0.05257
403,0.05552
404,0.05684
405,0.0565
406,0.05552
407,0.05535
408,0.05206
409,0.04906
410,0.05007
411,0.05037
412,0.05019
413,0.05029
414,0.05053
415,0.05265
416,0.05735
417,0.05713
418,0.05356
419,0.04167
420,0.02321
421,0.00582
422,0.00615
423,0.02361
424,0.04438
425,0.04951
426,0.05392
427,0.05703
428,0.05902
429,0.05798
430,0.05638
431,0.05646
432,0.05517
433,0.05017
434,0.05007
435,0.05328
436,0.05265
437,0.05181
438,0.05086
439,0.05013
440,0.05109
441,0.04229
442,0.03101
443,0.01781
444,0.00209
445,0.0003
446,0.0003
447,0.00387
448,0.03101
449,0.03718
450,0.05206
451,0.05352
452,0.05508
453,0.05381
454,0.05312
455,0.05275
456,0.0504
457,0.049
458,0.05017
459,0.05936
460,0.05658
461,0.05394
462,0.05319
463,0.05367
464,0.05587
465,0.05541
466,0.04475
467,0.04229
468,0.03771
469,0.02129
470,0.00721
471,0.01614
472,0.03794
473,0.05139
474,0.05255
475,0.05558
476,0.05905
477,0.05969
478,0.06006
479,0.05905
480,0.05367
481,0.05176
482,0.05231
483,0.05189
484,0.05178
485,0.05139
486,0.05167
487,0.05247
488,0.05703
489,0.05662
490,0.05027
491,0.01526
492,0.0003
493,0.00029
494,0.00029
495,0.00029
496,0.00034
497,0.04337
498,0.05414
499,0.061
500,0.06301
501,0.06308
502,0.06258
503,0.06276
504,0.05576
505,0.05027
506,0.05247
507,0.05377
508,0.05356
509,0.05329
510,0.05362
511,0.05779
512,0.06218
513,0.05562
514,0.04275
515,0.00807
516,0.00029
517,0.00028
518,0.00028
519,0.00029
520,0.00269
521,0.04656
522,0.05243
523,0.05628
524,0.06119
525,0.05723
