Hour Index,Inflated to 2020 prices,,,adjusted_value = (old_value * cpi_current) / cpi_old,,,,,,,Year,Annual,,,,,,($/kWh),,,,Inflated to 2020 prices
1,0.020742782,,,,,,,,,,2010,218.056,,,,,,0.02049,,,,0.020742782
2,0.020013899,,,0.166193,,,,,,,2011,224.939,,,,,,0.01977,,,,0.020013899
3,0.019801309,,,,,,,,,,2012,229.594,,,,,,0.01956,,,,0.019801309
4,0.019446991,,,,,,,,,,2013,232.957,,,,,,0.01921,,,,0.019446991
5,0.021481788,,,,,,,,,,2014,236.736,,,,,,0.02122,,,,0.021481788
6,0.022818072,,,,,,,,,,2015,237.017,,,,,,0.02254,,,,0.022818072
7,0.024225221,,,,,,,,,,2016,240.007,,,,,,0.02393,,,,0.024225221
8,0.024903486,,,,,,,,,,2017,245.12,,,,,,0.0246,,,,0.024903486
9,0.025318544,,,,,,,,,,2018,251.107,,,,,,0.02501,,,,0.025318544
10,0.025075584,,,,,,,,,,2019,255.657,,,,,,0.02477,,,,0.025075584
11,0.024994597,,,,,,,,,,2020,258.811,1.012336842,,,,,0.02469,,,,0.024994597
12,0.025672862,,,,,,,,,,,,,,,,,0.02536,,,,0.025672862
13,0.024468181,,,,,,,,,,,,,,,,,0.02417,,,,0.024468181
14,0.023162267,,,,,,,,,,,,,,,,,0.02288,,,,0.023162267
15,0.02314202,,,,,,,,,,,,,,,,,0.02286,,1.012336842,,0.02314202
16,0.023010416,,,,,,,,,,,,,,,,,0.02273,,,,0.023010416
17,0.023931643,,,,,,,,,,,,,,,,,0.02364,,,,0.023931643
18,0.031493799,,,,,,,,,,,,,,,,,0.03111,,,,0.031493799
19,0.035725367,,,,,,,,,,,,,,,,,0.03529,,,,0.035725367
20,0.031098988,,,,,,,,,,,,,,,,,0.03072,,,,0.031098988
21,0.029064191,,,,,,,,,,,,,,,,,0.02871,,,,0.029064191
22,0.027474822,,,,,,,,,,,,,,,,,0.02714,,,,0.027474822
23,0.025581752,,,,,,,,,,,,,,,,,0.02527,,,,0.025581752
24,0.024022753,,,,,,,,,,,,,,,,,0.02373,,,,0.024022753
25,0.02398226,,,,,,,,,,,,,,,,,0.02369,,,,0.02398226
26,0.023324241,,,,,,,,,,,,,,,,,0.02304,,,,0.023324241
27,0.023364734,,,,,,,,,,,,,,,,,0.02308,,,,0.023364734
28,0.02305091,,,,,,,,,,,,,,,,,0.02277,,,,0.02305091
29,0.025247681,,,,,,,,,,,,,,,,,0.02494,,,,0.025247681
30,0.028871847,,,,,,,,,,,,,,,,,0.02852,,,,0.028871847
31,0.03936978,,,,,,,,,,,,,,,,,0.03889,,,,0.03936978
32,0.039298916,,,,,,,,,,,,,,,,,0.03882,,,,0.039298916
33,0.036565607,,,,,,,,,,,,,,,,,0.03612,,,,0.036565607
34,0.039967059,,,,,,,,,,,,,,,,,0.03948,,,,0.039967059
35,0.040706064,,,,,,,,,,,,,,,,,0.04021,,,,0.040706064
36,0.037750041,,,,,,,,,,,,,,,,,0.03729,,,,0.037750041
37,0.035006608,,,,,,,,,,,,,,,,,0.03458,,,,0.035006608
38,0.035279939,,,,,,,,,,,,,,,,,0.03485,,,,0.035279939
39,0.035219199,,,,,,,,,,,,,,,,,0.03479,,,,0.035219199
