Hour ,$/kWh,$/MWh,,,,,,,,,,Settlement Point Price,,,Year,Mean,Min ,Max,Std Dev
1,0.01127,11.27,,0.021945625,,,,,,,,12.27,,,2016, $0.02 , $0.00 , $0.30 ,0.0147
2,0.01004,10.04,,,,,,,,,,11.53,,,2017, $0.03 , $0.00 , $0.27 ,0.0107
3,0.00958,9.58,,,,,,,,,,11.10,,,2018, $0.03 , $0.01 , $2.13 ,0.0779
4,0.00995,9.95,,,,,,,,,,10.99,,,2019, $0.04 , $0.00 , $5.07 ,0.1662
5,0.01022,10.22,,,,,,,,,,11.44,,,2020, $0.02 , $0.00 , $2.02 ,0.0361
6,0.01079,10.79,,,,,,,,,,13.53,,,,,,,
7,0.01342,13.42,,,,,,,,,,14.76,,,,,,,
8,0.01431,14.31,,,,,,,,,,15.84,,,*inflation adjusted (2020 dollars),,,,
9,0.01443,14.43,,,,,,,,,,20.98,,,,,,,
10,0.01463,14.63,,,,,,,,,,23.53,,,,,,,
11,0.01422,14.22,,,,,,,,,,22.14,,,,,,,
12,0.01352,13.52,,,,,,,,,,18.51,,,,,,,
13,0.01265,12.65,,,,,,,,,,15.83,,,,,,,
14,0.01194,11.94,,,,,,,,,,14.72,,,,,,,
15,0.0116,11.6,,,,,,,,,,14.83,,,,,,,
16,0.01074,10.74,,,,,,,,,,13.67,,,,,,,
17,0.01208,12.08,,,,,,,,,,14.62,,,,,,,
18,0.01591,15.91,,,,,,,,,,17.02,,,,,,,
19,0.0163,16.3,,,,,,,,,,18.29,,,,,,,
20,0.01511,15.11,,,,,,,,,,15.62,,,,,,,
21,0.01408,14.08,,,,,,,,,,14.69,,,,,,,
22,0.01272,12.72,,,,,,,,,,14.03,,,,,,,
23,0.01353,13.53,,,,,,,,,,11.82,,,,,,,
24,0.01519,15.19,,,,,,,,,,11.54,,,,,,,
25,0.0103,10.3,,,,,,,,,,9.68,,,,,,,
26,0.00617,6.17,,,,,,,,,,8.17,,,,,,,
27,0.00597,5.97,,,,,,,,,,7.54,,,,,,,
28,0.00674,6.74,,,,,,,,,,8.15,,,,,,,
29,0.00879,8.79,,,,,,,,,,9.51,,,,,,,
30,0.01058,10.58,,,,,,,,,,10.07,,,,,,,
31,0.01354,13.54,,,,,,,,,,14.45,,,,,,,
32,0.01645,16.45,,,,,,,,,,17.42,,,,,,,
33,0.01839,18.39,,,,,,,,,,16.06,,,,,,,
34,0.01722,17.22,,,,,,,,,,15.39,,,,,,,
35,0.01778,17.78,,,,,,,,,,14.26,,,,,,,
36,0.01614,16.14,,,,,,,,,,13.20,,,,,,,
37,0.01617,16.17,,,,,,,,,,11.68,,,,,,,
38,0.01614,16.14,,,,,,,,,,9.29,,,,,,,
39,0.01691,16.91,,,,,,,,,,7.98,,,,,,,
40,0.01589,15.89,,,,,,,,,,8.11,,,,,,,
41,0.01751,17.51,,,,,,,,,,8.05,,,,,,,
42,0.02561,25.61,,,,,,,,,,7.87,,,,,,,
43,0.02834,28.34,,,,,,,,,,9.98,,,,,,,
44,0.02038,20.38,,,,,,,,,,9.34,,,,,,,
45,0.01861,18.61,,,,,,,,,,8.81,,,,,,,
46,0.01793,17.93,,,,,,,,,,9.60,,,,,,,
47,0.01837,18.37,,,,,,,,,,8.57,,,,,,,
48,0.01849,18.49,,,,,,,,,,7.38,,,,,,,
49,0.01418,14.18,,,,,,,,,,5.87,,,,,,,
50,0.01295,12.95,,,,,,,,,,5.41,,,,,,,
51,0.01238,12.38,,,,,,,,,,5.54,,,,,,,
52,0.0123,12.3,,,,,,,,,,5.31,,,,,,,
53,0.01265,12.65,,,,,,,,,,6.13,,,,,,,
54,0.01253,12.53,,,,,,,,,,8.45,,,,,,,
55,0.02099,20.99,,,,,,,,,,12.82,,,,,,,
56,0.01913,19.13,,,,,,,,,,13.24,,,,,,,
57,0.0191,19.1,,,,,,,,,,14.76,,,,,,,
58,0.01778,17.78,,,,,,,,,,15.71,,,,,,,
59,0.0151,15.1,,,,,,,,,,14.91,,,,,,,
60,0.01407,14.07,,,,,,,,,,10.61,,,,,,,
61,0.01396,13.96,,,,,,,,,,12,,,,,,,
62,0.01369,13.69,,,,,,,,,,12.59,,,,,,,
63,0.01364,13.64,,,,,,,,,,12.94,,,,,,,
64,0.01363,13.63,,,,,,,,,,12.05,,,,,,,
65,0.01415,14.15,,,,,,,,,,11.98,,,,,,,
66,0.02132,21.32,,,,,,,,,,17.63,,,,,,,
67,0.01998,19.98,,,,,,,,,,14.16,,,,,,,
68,0.0212,21.2,,,,,,,,,,12.72,,,,,,,
69,0.02146,21.46,,,,,,,,,,11.64,,,,,,,
70,0.02115,21.15,,,,,,,,,,12.27,,,,,,,
